sample_id,group,read_count,run_accession
ANT1_113,AN_T1,37458,ERR1328415
ANT1_53,AN_T1,72272,ERR1328363
ANT1_60,AN_T1,99680,ERR1328366
ANT2_69,AN_T2,37004,ERR1328407
ANT2_38,AN_T2,77505,ERR1328404
ANT2_44,AN_T2,99836,ERR1328369
HC_295,NW,30323,ERR1328484
HC_217,NW,81145,ERR1328441
HC_227,NW,110687,ERR1328451
