Feature ID	Taxon	Confidence
95a24acd3a39ba4bf9af0ba0caeeebf0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9999978600054807
ec39293a8db6cdfc99fecc1decfa59d7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.999781174338521
eeba9006fd7bcd334bd92d010c65b097	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group;s__	0.9995676553444063
c26d08b47415c115823616a6fabad348	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.999997399964682
5c7aeeb25c701c3870808ac14e027fe4	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.9857740082714986
5726c13c2deb29736de5cc85f62209a5	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__	0.998984298031644
04b8458f4bfd4c1c9749a946c7f148ce	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__	0.9982474165501098
65441fb81e28eb930674f3d7d4281eb1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	0.9999999947837921
a448970de11b09c53971e6ae439c3e85	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group;s__	0.99962121775513
50d6049a2b89b495b2b59d1041584998	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__	0.999999846164099
73207d52d283e98167d95daae50ae04d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__	0.9999665817533987
4e40ee32e4cdf466e4d3b681d90f6199	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.9996598324681285
f7a1c2a7dc74eb24446faaa79f519ee6	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	0.9042141723655758
031b5d407f4465bdb5bc249c633d2183	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.9591240393086421
2c635ae7059c359d68928b4696d6c84d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.999692890650979
acf5bcc1f55e7657a7420c79d46e4b1f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_NK3B31_group;s__	0.9974041575285391
8a66e4725750e40bd19b1770b6b845de	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__	0.9730730221063459
ae99ccfe51f11b022e7a0c931c83ad19	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.9471158864136051
43ba54dc1879c65591a48e47de918e48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__	0.9827218244841118
1cf9522d20d84d59157edc3cf5612329	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9978685312184904
01540e7a251110f78082da5cf3128c2f	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group;s__	0.9999057979522182
b675d67b2060095344c60d2671706b22	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__	0.9990907296671894
367da03193554afa419233cf58aa75c7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.9993796681602317
196ac46a76bf92cca2d9bf95c57ec3f3	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.9999861922977978
b3a5cff8cd5d575be019b4bf274f029c	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	0.9876898663141961
cb39f94b4a5170e46d71f64675509f93	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group;s__	0.9955411024138973
0eba1bdb4af67821ecc16b6e316fc41a	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__	0.9284965245615173
20ad637341314dd2eeaa440007eb9b73	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group;s__	0.9998845265550164
798a392a704b7399adf374711cc8de3d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.9988188724295043
ed9d42acd9696a5c85d2a7c2616945d3	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	0.9999997178410184
8a2950244650b024368aa8174145ba33	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.9187936124492609
5906b594f17570abe6a9b649e24cb428	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;s__	0.9619337167363476
a0a953c376994dfbc0a5cc4dce701d13	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Asteroleplasma;s__	0.9999999911636337
6500cc7ab5df9f6e4d6359a7f2b7e6e3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	0.9999991411759475
efd3c5f761c7227b2823922d5a86fc8b	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group;s__	0.9964934084870717
7e3e371ef86710a1d15916b6ac9b8bab	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group;s__	0.9924217690356781
