"sample_id","run_accession","project_link"
"sample031","ERR4836343","https://www.ebi.ac.uk/ena/browser/view/PRJEB41316"
"sample066","ERR4836378","https://www.ebi.ac.uk/ena/browser/view/PRJEB41316"
"sample067","ERR4836379","https://www.ebi.ac.uk/ena/browser/view/PRJEB41316"
"sample105","ERR4836417","https://www.ebi.ac.uk/ena/browser/view/PRJEB41316"
"sample137","ERR4836448","https://www.ebi.ac.uk/ena/browser/view/PRJEB41316"
